Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Daffodil Pharmachem,daffodilpharma.com,Ahmedabad,Pharma Excipients - Basket A,"High-purity citrates , Sodium Citrate, Potassium Citrate, Calcium Citrate. WHO-GMP certified. 80 MT/day.",Rs.100-500Cr,Jitu Patel / Kushal Patel,President / Technical Director,Jitu Patel - M.Pharma LM College Gujarat. Kushal Patel - MSc Chemistry Rutgers University USA gen-2.,Strong,WHO-GMP certified facility at Karoli Gujarat. SCADA-controlled manufacturing. 80 MT/day production. 200+ employees.,Strong,Karoli plant Gujarat + Ahmedabad HQ. US distribution arm Daffocitra.,Strong,Asia largest WHO-GMP certified citrate facility. India first integrated corn-to-crystal citric acid plant Daffodil Biosynth. NABL ISO 17025 certified lab. 5 continents exports.,Strong,Science-founder M.Pharma + gen-2 Technical Director MSc Chemistry Rutgers USA formally on board. SCADA systems = strong operational infrastructure.,Strong,Pharma excipients Make-in-India + China+1. Food additives growing. Biosynth fermentation = new tailwind.,Moderate,Group expanding Biosynth + Daffocare + BridgeCare + Daffocitra USA. Total assets +8.92%. BUT revenue dropped 27% FY25 and EBITDA -74%. Mixed signals.,88,A - Strong Federer,Strong Pass,Asia largest WHO-GMP citrate facility. Science-founder + Rutgers gen-2 formally on board. SCADA systems. 5-continent exports. Caveat - FY25 revenue drop 27% - address in outreach.,Asia largest WHO-GMP certified citrate manufacturer building India first corn-to-crystal integrated citric acid plant through Daffodil Biosynth.,daffodilgroup.in; Tracxn; Tofler; ZaubaCorp; EMIS
Crystal Quinone Pvt Ltd,crystalquinone.com,Ahmedabad,Custom Synthesis - Basket A,"Specialty dye intermediates, vinyl sulphones, synthetic antioxidants TBHQ/BHA, pigment intermediates, CDMO heterocyclic synthesis",Rs.100Cr+ est,Anang Shah / Aniket Shah,Managing Directors,Anang Shah - founder. Aniket Shah - gen-2 formally appointed MD. Both on MCA board.,Strong,3 plants at Vatva GIDC Phase I + II. New CDMO facility commissioned 2024 at Sayakha Gujarat. 900 MT/year organic + 1500 MT/year inorganic capacity.,Strong,Vatva GIDC Ahmedabad HQ + Sayakha Gujarat expansion.,Strong,ISO 9000/14000/45000 + EcoVadis certified. NDA-based CDMO projects for global MNCs. Europe stock at Antwerp. 1983 - 40+ year moat.,Strong,Aniket Shah gen-2 formally appointed MD on MCA board. Cross-functional senior management team. GM Keval Thakkar non-family hired.,Strong,CDMO = massive global tailwind. China+1 for specialty intermediates. Export markets Europe + USA. Antwerp warehouse = serious export infrastructure.,Strong,2024 Sayakha new facility commissioned. 128 employees active. AGM Dec 2025. 3 signals met: Facility + Certification + Active.,93,A - Strong Federer,Strong Pass,Top priority target. 40yr specialty chemical company gen-2 MD formally appointed. 2024 CDMO expansion. EcoVadis certified. NDA-based global MNC projects. Antwerp warehouse.,1983 specialty dye intermediates manufacturer commissioned 2024 CDMO facility at Sayakha - global MNCs ke liye confidential NDA synthesis with Europe stock point at Antwerp.,crystalquinone.com; Tofler; ZaubaCorp; TheCompanyCheck; RocketReach
Matangi Industries LLP,matangiindustries.com,Ahmedabad,Specialty Chemicals - Basket A,"Vinyl sulphone + derivatives OAVS/PCVS/DMAVS, performance chemicals, custom synthesis. CDMO for global MNCs.",Rs.100Cr+ est,Ruchit Jani,Promoter / MD,Gen-2 leader. Founder late Suryakant Jani. Ruchit Jani pivoted company into performance chemicals 2009.,Strong,3 plants - Vatva Phase I + II + Dahej Phase III. 350+ employees. 40+ countries distribution.,Strong,Vatva GIDC Ahmedabad + Dahej Gujarat.,Strong,ISO 9001:2015 + Kosher + Halal certified. Trusted CDMO partner for global MNCs. Star Export House status. 40+ countries. Multiple proprietary brands Colmat/Matcare/Matcrop.,Strong,Gen-2 Ruchit Jani leading post-founder. Strategic pivot to performance chemicals 2009 = operator systems thinking. 350+ employees = professional management layers exist.,Strong,CDMO tailwind. China+1 specialty chemicals. Agrochemicals + pharma + personal care all growing. 40+ country exports.,Strong,3 plants including Dahej expansion. 350+ employees growing. LinkedIn active March 2026. Star Export House = export growth. 2+ signals met.,80,A - Strong Federer,Strong Pass,Gen-2 already leading. CDMO partner for global MNCs. 3 plants. 40+ country exports. LLP structure caveat - verify ERP before outreach.,1994 vinyl sulphone se shuru - Ruchit Jani ke under 2009 performance chemicals pivot - ab 40+ countries mein global MNCs ka trusted CDMO partner.,matangiindustries.com; LinkedIn; Tofler
JADE Jasubhai Engineering Pvt Ltd,jade.net.in,Ahmedabad,Precision Aerospace & Defence - Basket C,"LCA Tejas fuselage parts, turbine blades, aerospace components, defence precision parts for HAL, L&T, Honeywell",Rs.100Cr+ est,Maulik Jasubhai Shah,MD - 4th Generation,4th generation of Jasubhai Group est. 1966. Maulik Jasubhai appointed Honorary Consul General of Austria. Multi-generational engineering legacy.,Strong,"120000+ sq.ft manufacturing facilities at Vatva GIDC Ahmedabad + Peenya Bangalore. CNC, 5-axis, EDM, CMM technologies. LCA Tejas fuselage parts supplier to HAL.",Strong,64/A GIDC Industrial Estate Phase-I Vatwa Ahmedabad - primary facility. SG Highway HQ.,Strong,"AS9100D + ISO 9001:2015 + DGAQA approved. Supplies HAL, L&T, Honeywell, Godrej & Boyce. LCA Tejas fuselage parts manufacturer. Defence + aerospace = highest barrier products.",Strong,4th generation family leadership. Maulik Jasubhai - international recognition Honorary Consul General Austria. Non-family GMs across divisions. Structured multi-level management.,Strong,Make-in-India aerospace defence. LCA Tejas program expanding. DGAQA approved = government supplier. IN-SPACe + defence indigenization = strongest tailwind.,Strong,Active hiring Design & Engineering + HR + Accounts across Pune Mumbai Bangalore. 120000 sq.ft facilities. Dubai + Muscat + Qatar + Oman international expansion. 3+ signals.,93,A - Strong Federer,Strong Pass,Perfect Federer. 1966 legacy engineering company. LCA Tejas HAL supplier. AS9100D + DGAQA certified. 4th generation leadership. International expansion. Textbook Federer.,1966 se Ahmedabad mein precision engineering - ab LCA Tejas ke fuselage parts HAL ko supply karta hai - AS9100D + DGAQA approved - India ke Make-in-India aerospace vision ka direct beneficiary.,jade.net.in; jasubhaiengineering.com; GlobalDefenceMart; LinkedIn
Paragon Fine & Speciality Chemical,paragonchemical.in,Ahmedabad,Custom Synthesis - Basket A,"Pharma intermediates, agro intermediates, EV/electronics chemicals ~140 products",Rs.83-102Cr,Dr. Pravinchandra Vasolia,MD,PhD (Law) + 32 years chemical industry experience,Strong,NSE Emerge listed. 7000 sq mtr manufacturing facility at Viramgam. In-house R&D team doing complex multi-step synthesis.,Strong,Viramgam Ahmedabad HQ + plant. All operations Gujarat.,Moderate,~140 differentiated products across pharma/agro/cosmetics/pigments. Developing EV/electronics chemicals. Complex multi-step synthesis capability. No patents confirmed but strong product breadth.,Moderate,PhD in Law not chemistry. 32 years industry experience. No ERP/SAP confirmed.,Strong,China+1 beneficiary. Specialty chemicals PLI-adjacent. EV chemicals = new tailwind. Export markets active.,Strong,Revenue grew Rs.83Cr FY21 to Rs.102Cr FY23. NSE Emerge IPO 2023. PAT nearly doubled. Hiring active post-IPO.,75,B - Probable Federer,Probable Pass,Strong product differentiation and China+1 tailwind. NSE listed gives financial visibility. C4 moderate - PhD in law not science. C7 ERP not confirmed - verify before outreach.,Custom synthesis specialist expanding from pharma intermediates into EV/electronics chemicals - perfectly positioned for India China+1 shift.,NSE Emerge filings; company website; IndiaMart; Tracxn
Texel Industries Limited,texelindia.com,Ahmedabad,Technical textiles & specialty yarns (Basket C),"Geomembranes, geotextiles, specialty coated fabrics for infrastructure, agriculture and environmental applications",Rs.121Cr FY25,Kirit Mehta,Founder & MD,5+ decades in specialty coated fabrics and geomembranes. Long-term operator-founder.,Strong,Own manufacturing plant near Kalol Ahmedabad. Full in-house production of geomembranes and coated fabrics.,Strong,HQ and plant in Gujarat - Kalol near Ahmedabad.,Strong,"Geomembranes and geotextiles - highly technical specialty products. Not a commodity fabric maker. Serves infrastructure, water conservation, agri - niche end markets.",Moderate,Long-term founder with 5+ decades in the business. Operator archetype. No confirmed SAP/ERP or structured costing model publicly.,Strong,"Government infrastructure push, Jal Jeevan Mission, PM Krishi Sinchai Yojana - all drive geomembrane demand. Make-in-India for technical textiles also active.",Strong,Revenue Rs.121Cr FY25 with 27% CAGR. EBITDA growth +522%. Strong financial performance. Signals met: Financial + Website active.,68,B - Probable Federer,Probable Pass,Strong technical textiles manufacturer in a government-backed infrastructure sector. Impressive EBITDA growth of 522%. Operator-founder with decades of experience. C7 and C8 need deeper verification.,Geomembrane manufacturer riding Jal Jeevan Mission and PM Krishi Sinchai Yojana infrastructure wave - 522% EBITDA growth in FY25 with 27% revenue CAGR.,texelindia.com; NSE filings; Tofler; LinkedIn
Alps Chemicals Private Limited,alpschemicals.com,Ahmedabad,Specialty Dyes - Basket A,"Acid dyes for leather, paper, polyamide; solvent dyes; liquid dyes for inkjet",Rs.180Cr FY25,Haresh Bhuta / Chinmay Bhuta,Founder / Director gen-2,Haresh Bhuta - founder. Chinmay Bhuta - gen-2 formally on board. Nikhil Mehta - non-family professional director.,Strong,ISO 9001/14001/18001 certified. Vatva GIDC Phase IV manufacturing facility since 1985. In-house production confirmed.,Strong,612 Vatva GIDC Phase IV Ahmedabad HQ + plant.,Moderate,ISO 9001/14001/18001 three certifications. Acid dyes for niche applications - leather paper polyamide. 40 year accumulated chemistry knowledge. No patents.,Moderate,Gen-2 Chinmay Bhuta on board. Non-family director Nikhil Mehta. Technical background not directly confirmed. ERP not confirmed.,Strong,Specialty acid dyes = leather + textile + paper China+1 beneficiary. Export markets active.,Strong,Revenue Rs.180Cr FY25. Revenue CAGR 12%. EBITDA CAGR 38%. 141 employees Aug 2025. 2+ signals.,73,B - Probable Federer,Probable Pass,40 year specialty dye company Rs.180Cr revenue EBITDA 38% CAGR gen-2 formally on board. C7 verify - ERP confirm hoto A band possible.,1985 se Vatva GIDC mein specialty acid dyes manufacturer - leather se paper tak niche applications - EBITDA 38% CAGR ke saath quietly compounding.,Tracxn; Tofler; IndiaMart; ZaubaCorp
TerraTech Chemicals India Pvt Ltd,terratech.in,Ahmedabad,Chlorinated Intermediates - Basket A,"Monochloro Acetic Acid MCAA, Sodium Monochloro Acetate SMCA , agrochemical + pharma intermediates",Rs.25-100Cr,Bimal Ghai / Tanay Ghai,Founder / Director gen-2,Bimal Vedkumar Ghai - founder. Tanay Bimal Ghai - gen-2 formally on board. Past European directors = foreign collaboration background.,Strong,Plot 455-461 Changodar Ahmedabad plant. 30000 MTPA capacity. India largest MCA manufacturer.,Strong,Changodar Ahmedabad plant + SG Highway Ahmedabad HQ.,Strong,India largest MCA manufacturer - market leader. Custom synthesis for agrochemical + pharma. 30000 MTPA capacity.,Moderate,Gen-2 Tanay Ghai on board. Professional non-family director Ravi Teja Prativada. Technical credentials not directly confirmed.,Strong,Agrochemicals + pharma intermediates both strong. MCA = key building block. China+1 direct beneficiary.,Moderate,88 employees Feb 2026 slight decline. Active AGM Sep 2024. Revenue Rs.25-100Cr. Employee decline = red flag.,72,B - Probable Federer,Probable Pass,India largest MCA manufacturer Ahmedabad confirmed gen-2 on board. C4 and C6 weak - employee decline concerning. Verify operations before outreach.,India largest Monochloro Acetic Acid manufacturer - agrochemicals aur pharma ke liye critical intermediate - Changodar Ahmedabad 30000 MTPA capacity.,terratech.in; Tracxn; TheCompanyCheck; D&B; IndiaMart
Encore Natural Polymers Pvt Ltd,encorenaturalpolymers.com,Ahmedabad,Specialty Natural Polymers - Basket A,"Hydroxypropyl Guar Gum, Hydroxyethyl Tamarind, Carboxymethyl Tamarind - oil well drilling, paints, construction polymers",Rs.173Cr FY23,Merchant Family,Directors,Merchant family - multi-generational. Originally IGI est. 1958 with Cesalpinia Italy collaboration. 1999 became Encore.,Strong,Ahmedabad manufacturing plant. 2500 tons/month capacity. Guar gum + derivatives in-house production.,Strong,Plant facility Ahmedabad Gujarat. Registered office Mumbai but operational presence Ahmedabad confirmed.,Moderate,"Specialty derivatized gums - HPG, HET, CMT. CMC/HEC replacement products. Niche applications oil well + paints + construction. Pioneer since 1958.",Moderate,Merchant family multi-generational. Technical background unclear. No ERP directly confirmed.,Strong,Oil well drilling chemicals growing. Paints + construction sector growing. Japan Korea Germany USA Europe exports. Multiple sector tailwinds.,Moderate,Revenue Rs.173Cr FY23 CAGR 428%. Global exports confirmed. Active website 2026. 1-2 signals.,60,B - Probable Federer,Probable Pass,1958 legacy specialty natural polymer company. Global exports Japan Korea Germany USA. Rs.173Cr revenue. Borderline on C4 and C7 - verify ERP and founder technical background.,1958 se specialty natural polymers manufacturer - guar gum derivatives jo oil well drilling se paints tak use hote hain - Japan Korea Germany USA global exports ke saath.,encorenaturalpolymers.com; Tracxn; RocketReach; IndiaMart; allbiz
Synzeal Research Private Limited,synzeal.com,Bavla - Ahmedabad,Specialty diagnostics & life-science tools (Basket A),"Pharmaceutical reference standards, API impurity standards, stable isotope-labelled compounds, drug metabolites, complex research chemicals for pharma R&D",Rs.144Cr FY25,Shailesh M Patel / Rameshbhai Maghabhai Patel,Directors,Technical founders. Science-oriented company - nature of business requires deep organic chemistry expertise. DSIR-recognized research centre.,Strong,Own manufacturing + R&D facility at Bavla Ahmedabad (Sarkhej-Bavla Road). DSIR-recognized SynZeal Research Centre. Not a services company - produces finished reference standard chemicals.,Strong,Plant and HQ at Bavla Ahmedabad Gujarat. Fully India-based.,Strong,DSIR-recognized R&D centre - government confirmed R&D capability. Custom synthesis of non-pharmacopeial impurity standards - highly niche. Global market presence at CPhI Frankfurt and CPhI India. Complex chemistry that competitors cannot easily replicate. 384 employees.,Moderate,Technical founders with science-driven management. No public PhD/IIT credentials available but DSIR recognition and nature of products confirm deep chemistry expertise in leadership.,Strong,Global pharma regulatory tightening drives demand for reference standards. ICH guidelines require more impurity characterization. China+1 in pharma APIs benefits Indian ecosystem. Drug development boom globally.,Strong,Revenue 21% CAGR. Rs.144Cr FY25 vs Rs.122Cr FY24. Employee count +10% YoY (333 to 384). Expanding product portfolio. Active CPhI international presence. Signals met: Financial + Hiring.,68,B - Probable Federer,Probable Pass,Strong technical moat in niche pharma reference standards. DSIR recognition confirms R&D depth. Fast-growing revenue with 21% CAGR. 384-person team for a specialized chemistry company is impressive. Only weakness is limited public data on leadership credentials and C8.,DSIR-recognized pharma reference standards company synthesizing impurity standards that global drug regulators demand - almost no Indian company does this at Synzeal's scale.,synzeal.com; Tracxn; Tofler MCA; ZaubaCorp; CPhI participation records
