Company Name,Website,City,Segment,Fail Reason,Gate Failed,Score,Band,Notes
Flotech Engineering Pvt Ltd,N/A,Ahmedabad,Engineering / Industrial,Revenue ~Rs.20 Cr - significantly below Rs.50 Cr minimum ICP threshold. Too small for ICP target range.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.20 Cr bracket - too small
Maruti Dye-Chem Industries,N/A,Ahmedabad,Dyes & Chemicals,Partnership firm. Small enterprise. No ERP or systems evidence. Commodity dyes manufacture. No website or growth signals found.,Small Enterprise + No Systems,0,D - Not ICP,Partnership firm - commodity dyes below ICP threshold
Shree Vallabh Chemicals,N/A,Ahmedabad,Performance Chemicals - Basket A,Godrej Industries acquired Ethoxylation Unit II via BTA July 2024 for Rs.45 Cr. Large group acquisition - promoter-driven character completely lost.,Auto-Disqualify - Large Group Acquisition,0,D - Not ICP,Godrej agreement - hard auto-disqualify rule triggered
Electro Mech Engineers,N/A,Ahmedabad,Engineering / Electrical,Crossed out on shortlist - insufficient qualification evidence. No website. No meaningful revenue or systems data found.,Insufficient Qualification - No Data,0,D - Not ICP,X marked on shortlist - disqualified
Amtons Organics Pvt Ltd,N/A,Ahmedabad,Specialty Chemicals / Organics,Crossed out on shortlist. No verifiable revenue data. No website or digital presence found. Insufficient evidence to qualify.,No Data + Insufficient Qualification,0,D - Not ICP,X marked on shortlist - disqualified
Dura Brite Insulation Pvt Ltd,N/A,Ahmedabad,Insulation / Construction Materials,Crossed out on shortlist. Insulation materials - wrong segment for ICP Basket A or C. Insufficient differentiation and systems evidence.,Wrong Segment + Insufficient Qualification,0,D - Not ICP,X marked on shortlist - wrong segment disqualified
Jaybee Industries,N/A,Ahmedabad,Engineering,Crossed out on shortlist. Weak overall qualification. Limited systems and growth evidence. No ERP or SAP evidence found.,C6 + C7 Weak - Growth and Systems Missing,0,D - Not ICP,X marked on shortlist - weak qualification
Saffron Speciality Chemical Pvt Ltd,N/A,Ahmedabad,Specialty Chemicals,Crossed out on shortlist. Despite specialty chemicals segment - insufficient evidence of revenue scale systems or differentiation meeting full ICP criteria.,Insufficient Full ICP Qualification,0,D - Not ICP,X marked on shortlist - disqualified on deeper review
Kiron Hydraulic Needs Pvt Ltd,N/A,Ahmedabad,Industrial Equipment / Hydraulics,Crossed out on shortlist. Insufficient proof of scale and systems maturity. Revenue unconfirmed above Rs.50 Cr. Hydraulics niche but weak evidence.,Revenue Unconfirmed + Weak Systems,0,D - Not ICP,X marked on shortlist - insufficient scale and systems proof
Kiri Industries Ltd,kiriindustries.com,Ahmedabad,Dyes & Chemicals,Publicly listed on BSE. Large listed entity. Outside ideal promoter-led unlisted private ICP profile. Auto-disqualify.,Auto-Disqualify - BSE Listed,0,D - Not ICP,X marked on shortlist - listed entity auto disqualified
Molkem Chemicals,N/A,Ahmedabad,Chemicals,Crossed out on shortlist. Marked fail during qualification. Limited evidence of systems maturity and growth signals. Weak overall profile.,C6 + C7 Weak - Growth and Systems Missing,0,D - Not ICP,X marked on shortlist - weak qualification confirmed
Devarsons Industries,N/A,Ahmedabad,Specialty Chemicals,All financial parameters otherwise OK but EBITDA ~40% - unusually high raises sustainability concern. Previous year crossover data unclear. Needs verification.,EBITDA Sustainability Concern - Data Unclear,0,D - Not ICP,EBITDA ~40% - crossing/previous year context unclear
Milestone Preservation,N/A,Ahmedabad,Specialty Chemicals,EBITDA crashed 50%+ - severe margin deterioration. Fails >15% EBITDA criterion on current year basis.,EBITDA Crash - Fails >15% Criterion,0,D - Not ICP,50%+ EBITDA crash - margin collapse disqualifies
Shiva Pharmachem & Joy Chemical,N/A,Ahmedabad,Pharma / Chemicals,Revenue only Rs.22-30 Cr - below Rs.50 Cr minimum ICP threshold. Too small for ICP target range.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.22-30 Cr revenue - below minimum threshold
Priti Oxiclys / Priti Industries,N/A,Ahmedabad,Dyes & Chemicals,Revenue data unclear and unreliable. Small-scale operation identified. Insufficient data to qualify. Below ICP minimum scale.,Revenue Too Small + Data Problem,0,D - Not ICP,Small operation - data unreliable and insufficient
Sujata Chemical Industries,N/A,Ahmedabad,Chemicals,Revenue only Rs.15-20 Cr - significantly below Rs.50 Cr minimum ICP threshold. Too small.,Revenue Too Small - Below Rs.50 Cr,0,D - Not ICP,Rs.15-20 Cr revenue - too small
Intermediates India Pvt Ltd,N/A,Ahmedabad,Chemicals,Revenue only Rs.1.6 lakh (160K) - extremely tiny operation. Far below any meaningful threshold. Auto-disqualify.,Revenue Negligible - Near Zero,0,D - Not ICP,Rs.160K revenue - negligible operation auto disqualified
Texel Industries Ltd,texelindustries.com,Ahmedabad,Technical Textiles,Publicly listed company on BSE. Listed status auto-disqualifies from unlisted private ICP universe.,Auto-Disqualify - BSE Listed,0,D - Not ICP,BSE listed entity - auto disqualify
